geometry,amenity
POINT (-87.6478894 41.8841748),restaurant
POINT (-87.6847253 41.8523623),restaurant
POINT (-87.6862264 41.8511632),restaurant
POINT (-87.6855565 41.8905641),restaurant
POINT (-87.7490264 41.9547429),restaurant
POINT (-87.7503536 41.9536254),restaurant
POINT (-87.747483 41.9527417),restaurant
POINT (-87.7474843 41.9526032),restaurant
POINT (-87.6162491 41.8909495),restaurant
POINT (-87.6366013 41.9200447),restaurant
POINT (-87.9103562 41.9792517),restaurant
POINT (-87.9103743 41.9791769),restaurant
POINT (-87.5901224 41.7916126),restaurant
POINT (-87.5961219 41.7999989),restaurant
POINT (-87.5899259 41.799405),restaurant
POINT (-87.5895057 41.799425),restaurant
POINT (-87.5886383 41.7993874),restaurant
POINT (-87.5851621 41.793528),restaurant
POINT (-87.5865743 41.7950891),restaurant
POINT (-87.5881686 41.8004349),restaurant
POINT (-87.5866903 41.8032008),cafe
POINT (-87.6807433 41.902948),bar
POINT (-87.6208352 41.8939159),bar
POINT (-87.6205048 41.8935736),restaurant
POINT (-87.6468872 41.908293),restaurant
POINT (-87.7771017 41.9675362),restaurant
POINT (-87.7755004 41.9679551),restaurant
POINT (-87.7817888 41.9686027),bar
POINT (-87.6458825 41.8361205),cafe
POINT (-87.7632141 41.9708434),restaurant
POINT (-87.7626602 41.9705905),restaurant
POINT (-87.7609822 41.969289),restaurant
POINT (-87.6387692 41.9114966),bar
POINT (-87.6386253 41.9176173),bar
POINT (-87.6393605 41.9234681),restaurant
POINT (-87.6485845 41.9267147),restaurant
POINT (-87.649093 41.9216939),restaurant
POINT (-87.6482216 41.9248942),restaurant
POINT (-87.6488352 41.9219393),cafe
POINT (-87.648107 41.9219534),restaurant
POINT (-87.635275 41.9109839),restaurant
POINT (-87.6256814 41.8958988),restaurant
POINT (-87.7303791 41.9429008),bar
POINT (-87.7281613 41.9415627),restaurant
POINT (-87.6173152 41.8906383),cafe
POINT (-87.6149427 41.8912617),restaurant
POINT (-87.6187447 41.8912044),restaurant
POINT (-87.6292577 41.8842027),restaurant
POINT (-87.6339196 41.878005),cafe
POINT (-87.6877924 41.9460107),restaurant
POINT (-87.6877905 41.9458554),restaurant
POINT (-87.7676499 41.976069),restaurant
POINT (-87.7697283 41.9771698),restaurant
POINT (-87.7691061 41.9775973),bar
POINT (-87.7705395 41.9783028),bar
POINT (-87.7745756 41.9824872),restaurant
POINT (-87.6283097 41.8887672),restaurant
POINT (-87.7598708 41.9658908),restaurant
POINT (-87.6280873 41.8795744),cafe
POINT (-87.6254938 41.8656166),bar
POINT (-87.70231 41.9319581),restaurant
POINT (-87.669943 41.9054188),restaurant
POINT (-87.6914733 41.997446),restaurant
POINT (-87.7471446 41.9426103),restaurant
POINT (-87.9086529 41.9746712),cafe
POINT (-87.625794 41.8780922),cafe
POINT (-87.7021781 41.9257031),bar
POINT (-87.655731 41.8581709),restaurant
POINT (-87.6967084 41.9023766),restaurant
POINT (-87.6432957 41.929762),bar
POINT (-87.6431533 41.9299851),restaurant
POINT (-87.649645 41.9581265),restaurant
POINT (-87.6469762 41.9239848),restaurant
POINT (-87.741949 41.7841266),cafe
POINT (-87.7436473 41.7883815),restaurant
POINT (-87.745498 41.7869266),restaurant
POINT (-87.6692351 41.9861299),restaurant
POINT (-87.6491974 41.9492375),restaurant
POINT (-87.654064 41.8728335),restaurant
POINT (-87.7088776 41.8442307),restaurant
POINT (-87.6923518 41.8577607),bar
POINT (-87.646281 41.8306587),restaurant
POINT (-87.6786084 41.9433508),restaurant
POINT (-87.6783201 41.9434066),restaurant
POINT (-87.6312178 41.8879048),restaurant
POINT (-87.5761044 41.7667061),bar
POINT (-87.6271744 41.8803474),cafe
POINT (-87.7228231 41.77057),restaurant
POINT (-87.6488209 41.8846234),restaurant
POINT (-87.6267564 41.8805649),bar
POINT (-87.6524732 41.921899),restaurant
POINT (-87.626423 41.8758394),restaurant
POINT (-87.6271532 41.8898798),restaurant
POINT (-87.7017746 41.8462601),restaurant
POINT (-87.6252512 41.8879211),bar
POINT (-87.7640849 41.9969655),cafe
POINT (-87.7090096 41.9099427),restaurant
POINT (-87.6425793 41.9288349),restaurant
POINT (-87.6417258 41.9280172),bar
POINT (-87.6421131 41.9286324),cafe
POINT (-87.6415754 41.9277023),bar
POINT (-87.6681411 41.9804744),restaurant
POINT (-87.7122707 41.9171899),
POINT (-87.711505 41.9171209),restaurant
POINT (-87.6743858 41.9561589),bar
POINT (-87.6754459 41.8960919),restaurant
POINT (-87.6776697 41.896048),restaurant
POINT (-87.6693545 41.895873),cafe
POINT (-87.6389402 41.8681043),cafe
POINT (-87.6373192 41.9208033),restaurant
POINT (-87.6484457 41.8837848),restaurant
POINT (-87.6482057 41.8962302),restaurant
POINT (-87.6336398 41.8822166),cafe
POINT (-87.6212621 41.8982325),cafe
POINT (-87.626919 41.8918574),restaurant
POINT (-87.6613607 41.8844194),restaurant
POINT (-87.6332147 41.8765537),cafe
POINT (-87.6130835 41.7837978),cafe
POINT (-87.6704013 41.8958892),restaurant
POINT (-87.6715393 41.8961658),bar
POINT (-87.6717217 41.8958623),restaurant
POINT (-87.6733515 41.8958333),restaurant
POINT (-87.6867058 41.8992629),restaurant
POINT (-87.6547349 41.9546187),bar
POINT (-87.6331472 41.8890598),restaurant
POINT (-87.6511355 41.8381319),bar
POINT (-87.6509999 41.8380973),restaurant
POINT (-87.7110484 41.9172177),cafe
POINT (-87.6478726 41.8846364),bar
POINT (-87.6537697 41.9347553),restaurant
POINT (-87.659813 41.894242),restaurant
POINT (-87.6935215 41.9031227),cafe
POINT (-87.6442948 41.9425068),bar
POINT (-87.6606688 41.810614),bar
POINT (-87.6444633 41.9352464),restaurant
POINT (-87.6875926 41.9160583),restaurant
POINT (-87.6866754 41.8982098),bar
POINT (-87.6501206 41.9262623),restaurant
POINT (-87.6590989 41.9675028),restaurant
POINT (-87.6584942 41.9493082),restaurant
POINT (-87.648447 41.8858519),restaurant
POINT (-87.6535024 41.9327716),restaurant
POINT (-87.624671 41.8815293),restaurant
POINT (-87.6831735 41.8959266),cafe
POINT (-87.6250859 41.8783913),restaurant
POINT (-87.6246693 41.8812422),restaurant
POINT (-87.6633434 41.9651973),cafe
POINT (-87.6559439 41.9691901),restaurant
POINT (-87.6313754 41.8945947),cafe
POINT (-87.5961366 41.7900203),cafe
POINT (-87.6259452 41.8814084),cafe
POINT (-87.6289457 41.8814165),restaurant
POINT (-87.6425174 41.883943),restaurant
POINT (-87.6068822 41.8914743),restaurant
POINT (-87.6046487 41.891302),restaurant
POINT (-87.7143073 41.9242272),restaurant
POINT (-87.6972462 41.9249893),bar
POINT (-87.6267766 41.8794015),restaurant
POINT (-87.63228 41.8879519),restaurant
POINT (-87.6330884 41.8526469),restaurant
POINT (-87.6603305 41.9797035),restaurant
POINT (-87.6600252 41.9906294),restaurant
POINT (-87.624719 41.8826989),restaurant
POINT (-87.693432 41.8958169),restaurant
POINT (-87.6353895 41.8941897),restaurant
POINT (-87.6234149 41.8940111),restaurant
POINT (-87.693428 41.9207382),restaurant
POINT (-87.6708927 41.9983048),restaurant
POINT (-87.7312928 41.9898423),bar
POINT (-87.6425393 41.9286556),cafe
POINT (-87.62549 41.8822253),restaurant
POINT (-87.6595711 41.9739586),restaurant
POINT (-87.6530228 41.881958),restaurant
POINT (-87.6607397 42.0058089),bar
POINT (-87.7012599 41.9250994),bar
POINT (-87.6497113 41.8767732),cafe
POINT (-87.6343649 41.8944222),restaurant
POINT (-87.6272526 41.8703317),restaurant
POINT (-87.6444045 41.9361201),restaurant
POINT (-87.6832788 41.9144268),cafe
POINT (-87.6337796 41.8917392),restaurant
POINT (-87.6660177 41.8959528),restaurant
POINT (-87.6316624 41.8909642),restaurant
POINT (-87.6348919 41.889285),restaurant
POINT (-87.6299745 41.8910437),restaurant
POINT (-87.6215054 41.8940244),cafe
POINT (-87.6540662 41.9447083),bar
POINT (-87.6343493 41.8830226),restaurant
POINT (-87.5970509 41.7952195),restaurant
POINT (-87.6013562 41.8914645),
POINT (-87.6631317 41.9140129),restaurant
POINT (-87.6629791 41.8838272),restaurant
POINT (-87.590425 41.78423),cafe
POINT (-87.6373313 41.9207184),restaurant
POINT (-87.6376583 41.920646),restaurant
POINT (-87.6302742 41.8870511),bar
POINT (-87.624269 41.8625159),bar
POINT (-87.6814957 41.9799271),cafe
POINT (-87.6279206 41.9019937),restaurant
POINT (-87.6245306 41.8931982),cafe
POINT (-87.6544566 41.9400136),bar
POINT (-87.6537882 41.9400486),bar
POINT (-87.6535927 41.939802),restaurant
POINT (-87.6561359 41.9397747),restaurant
POINT (-87.6563655 41.9397702),restaurant
POINT (-87.6572805 41.939981),cafe
POINT (-87.6538954 41.9382088),bar
POINT (-87.6543631 41.9434096),bar
POINT (-87.6541256 41.9360501),restaurant
POINT (-87.6541061 41.9354732),restaurant
POINT (-87.6537664 41.9346785),restaurant
POINT (-87.6538 41.934997),bar
POINT (-87.6541309 41.9361318),restaurant
POINT (-87.6533288 41.9327759),restaurant
POINT (-87.6541398 41.9364819),cafe
POINT (-87.6541433 41.9365543),restaurant
POINT (-87.6925552 41.9979879),restaurant
POINT (-87.6433844 41.8842277),restaurant
POINT (-87.6445563 41.9384653),restaurant
POINT (-87.6285195 41.8905935),restaurant
POINT (-87.6534096 41.8578843),restaurant
POINT (-87.6417195 41.837949),restaurant
POINT (-87.6602801 41.9807491),restaurant
POINT (-87.6861157 41.9652111),restaurant
POINT (-87.6249909 41.8855608),
POINT (-87.6938554 41.9209586),bar
POINT (-87.6519964 41.9398268),restaurant
POINT (-87.6504571 41.9394504),restaurant
POINT (-87.6524668 41.939827),restaurant
POINT (-87.6523651 41.9398293),restaurant
POINT (-87.6542735 41.9404541),bar
POINT (-87.6490939 41.9398678),restaurant
POINT (-87.651186 41.940804),restaurant
POINT (-87.6550672 41.9437361),restaurant
POINT (-87.6506779 41.940235),bar
POINT (-87.6517288 41.9410486),restaurant
POINT (-87.676849 41.8942344),bar
POINT (-87.6017075 41.7897081),cafe
POINT (-87.686939 41.7793517),restaurant
POINT (-87.6507983 41.8848398),restaurant
POINT (-87.6532613 41.9434167),bar
POINT (-87.6556246 41.9458684),restaurant
POINT (-87.6564199 41.9468383),bar
POINT (-87.6301958 41.879657),restaurant
POINT (-87.6342567 41.8846002),restaurant
POINT (-87.6365945 41.8823509),restaurant
POINT (-87.6378209 41.8816168),bar
POINT (-87.6550805 41.896462),restaurant
POINT (-87.6969945 41.9196328),bar
POINT (-87.6970841 41.9195959),restaurant
POINT (-87.6374532 41.8983773),restaurant
POINT (-87.6559549 41.9694847),bar
POINT (-87.7121435 41.9211195),restaurant
POINT (-87.659463 41.96915),restaurant
POINT (-87.6294315 41.8754048),restaurant
POINT (-87.6324897 41.8801039),cafe
POINT (-87.6518177 41.9568479),restaurant
POINT (-87.6527624 41.958331),cafe
POINT (-87.6304237 41.872428),restaurant
POINT (-87.652684 41.9427161),restaurant
POINT (-87.6544113 41.944352),bar
POINT (-87.6540921 41.9447909),bar
POINT (-87.6553501 41.9454034),bar
POINT (-87.6548619 41.9453854),bar
POINT (-87.6550443 41.945142),bar
POINT (-87.623821 41.864555),restaurant
POINT (-87.6523157 41.9421958),restaurant
POINT (-87.635457 41.8945518),restaurant
POINT (-87.6346207 41.8526305),cafe
POINT (-87.6485213 41.9286066),restaurant
POINT (-87.648171 41.8913731),cafe
POINT (-87.6775992 41.9094984),restaurant
POINT (-87.6318723 41.8524362),restaurant
POINT (-87.6476041 41.877371),cafe
POINT (-87.650725 41.8872097),restaurant
POINT (-87.6493874 41.8866106),restaurant
POINT (-87.6496368 41.8866017),restaurant
POINT (-87.6518793 41.886605),restaurant
POINT (-87.6489648 41.8869397),restaurant
POINT (-87.6524319 41.8869686),restaurant
POINT (-87.6281827 41.8897784),bar
POINT (-87.6282309 41.889415),restaurant
POINT (-87.6282314 41.8895369),restaurant
POINT (-87.6286387 41.8898872),restaurant
POINT (-87.6292037 41.8898852),bar
POINT (-87.6286217 41.8902576),bar
POINT (-87.6285193 41.8899141),bar
POINT (-87.6271286 41.8902795),bar
POINT (-87.6287111 41.8906429),bar
POINT (-87.6470741 41.8774854),restaurant
POINT (-87.6471036 41.877789),restaurant
POINT (-87.6471288 41.8782462),bar
POINT (-87.6542009 41.8845857),restaurant
POINT (-87.6532669 41.8814724),restaurant
POINT (-87.6519829 41.8853503),cafe
POINT (-87.6603851 41.9844894),restaurant
POINT (-87.6270304 41.890673),restaurant
POINT (-87.6274747 41.890681),restaurant
POINT (-87.625219 41.8916024),restaurant
POINT (-87.6274944 41.8922943),bar
POINT (-87.6271377 41.8922743),restaurant
POINT (-87.6260433 41.8926617),restaurant
POINT (-87.6264886 41.8929891),restaurant
POINT (-87.6286954 41.8939282),restaurant
POINT (-87.6287429 41.8934341),bar
POINT (-87.6283372 41.8942694),restaurant
POINT (-87.6285058 41.8942498),bar
POINT (-87.6279262 41.8942655),restaurant
POINT (-87.6258346 41.895595),restaurant
POINT (-87.6256607 41.8954146),restaurant
POINT (-87.6258507 41.8953665),restaurant
POINT (-87.6265696 41.8959343),cafe
POINT (-87.6300231 41.8947236),restaurant
POINT (-87.6309917 41.8941753),bar
POINT (-87.6304308 41.893521),restaurant
POINT (-87.6307259 41.8914724),restaurant
POINT (-87.6298622 41.8914844),restaurant
POINT (-87.6313803 41.8906817),restaurant
POINT (-87.6319006 41.8902545),restaurant
POINT (-87.6316003 41.8902584),restaurant
POINT (-87.6317505 41.8902824),restaurant
POINT (-87.6314021 41.8902576),bar
POINT (-87.6308546 41.8910012),restaurant
POINT (-87.6298263 41.8890792),restaurant
POINT (-87.630767 41.889685),restaurant
POINT (-87.6305913 41.8893747),restaurant
POINT (-87.6304313 41.8890874),bar
POINT (-87.6312315 41.8886929),restaurant
POINT (-87.631681 41.8890762),restaurant
POINT (-87.6314633 41.8896818),restaurant
POINT (-87.6319768 41.8894067),restaurant
POINT (-87.631628 41.8898493),bar
POINT (-87.6332026 41.8890572),restaurant
POINT (-87.6353372 41.8892737),bar
POINT (-87.6337487 41.8890366),restaurant
POINT (-87.6333459 41.8933938),restaurant
POINT (-87.6342632 41.8911495),restaurant
POINT (-87.6320262 41.8918045),restaurant
POINT (-87.6354638 41.8967372),restaurant
POINT (-87.6352763 41.8971796),bar
POINT (-87.6373493 41.8941144),restaurant
POINT (-87.6342963 41.8917434),restaurant
POINT (-87.6372631 41.8896816),bar
POINT (-87.6376935 41.889785),restaurant
POINT (-87.6377144 41.8900951),restaurant
POINT (-87.6338676 41.8951302),restaurant
POINT (-87.6323718 41.8959707),restaurant
POINT (-87.6323718 41.895831),restaurant
POINT (-87.6314977 41.8960824),bar
POINT (-87.6309448 41.8958096),restaurant
POINT (-87.6339185 41.8926684),restaurant
POINT (-87.6256466 41.8897293),restaurant
POINT (-87.6273201 41.8922764),bar
POINT (-87.6330293 41.8964028),restaurant
POINT (-87.6313597 41.8899002),bar
POINT (-87.631399 41.8918879),restaurant
POINT (-87.633264 41.8890557),restaurant
POINT (-87.6313436 41.8897504),restaurant
POINT (-87.6262665 41.8969107),bar
POINT (-87.6263144 41.8915913),restaurant
POINT (-87.631288 41.8905124),bar
POINT (-87.6344707 41.8952975),restaurant
POINT (-87.6328667 41.8886403),restaurant
POINT (-87.6302615 41.8898275),restaurant
POINT (-87.6315977 41.8894187),bar
POINT (-87.6342686 41.8921561),restaurant
POINT (-87.6293075 41.8885135),restaurant
POINT (-87.6338964 41.8954309),cafe
POINT (-87.6299888 41.8938953),bar
POINT (-87.6314417 41.8909981),restaurant
POINT (-87.6283685 41.8931024),restaurant
POINT (-87.6322873 41.8922256),restaurant
POINT (-87.626616 41.8888011),bar
POINT (-87.6312366 41.8888733),restaurant
POINT (-87.6314385 41.8960149),restaurant
POINT (-87.6286917 41.8955249),restaurant
POINT (-87.6259171 41.8934973),restaurant
POINT (-87.625003 41.8959868),restaurant
POINT (-87.6252675 41.8958997),restaurant
POINT (-87.6283104 41.8886664),bar
POINT (-87.6285576 41.8891471),restaurant
POINT (-87.6304875 41.8914679),restaurant
POINT (-87.6316181 41.894668),restaurant
POINT (-87.6378482 41.889796),bar
POINT (-87.6373962 41.894551),bar
POINT (-87.6351136 41.8892822),bar
POINT (-87.6275978 41.8885765),restaurant
POINT (-87.631559 41.8946715),restaurant
POINT (-87.6278913 41.8926249),bar
POINT (-87.6410404 41.8841908),cafe
POINT (-87.63997 41.8841928),restaurant
POINT (-87.6421354 41.884667),bar
POINT (-87.6422268 41.8855762),restaurant
POINT (-87.646666 41.8847049),restaurant
POINT (-87.6472212 41.8849925),bar
POINT (-87.6477165 41.8841852),restaurant
POINT (-87.6484133 41.884171),restaurant
POINT (-87.6484313 41.8836945),bar
POINT (-87.6508002 41.8839985),restaurant
POINT (-87.649295 41.8828777),restaurant
POINT (-87.6507162 41.8841395),restaurant
POINT (-87.6524622 41.8854339),restaurant
POINT (-87.6451372 41.8861178),restaurant
POINT (-87.6451137 41.8858571),bar
POINT (-87.6452476 41.8859587),restaurant
POINT (-87.6499579 41.8846081),restaurant
POINT (-87.6501403 41.8846013),restaurant
POINT (-87.6487697 41.8847223),cafe
POINT (-87.648244 41.8855009),restaurant
POINT (-87.6335418 41.8842777),bar
POINT (-87.6326764 41.884033),restaurant
POINT (-87.6413837 41.8803617),restaurant
POINT (-87.6413762 41.8810817),restaurant
POINT (-87.6412857 41.8777587),restaurant
POINT (-87.6604106 41.8849698),restaurant
POINT (-87.657892 41.8817668),restaurant
POINT (-87.6560815 41.8817927),restaurant
POINT (-87.6555558 41.8815052),restaurant
POINT (-87.6565401 41.8818267),restaurant
POINT (-87.6556577 41.8815012),bar
POINT (-87.6483478 41.8841609),bar
POINT (-87.6511383 41.8814441),restaurant
POINT (-87.6405879 41.8843074),restaurant
POINT (-87.6408669 41.8839579),restaurant
POINT (-87.6410117 41.8839519),cafe
POINT (-87.6310148 41.8808872),restaurant
POINT (-87.6609272 41.8844717),restaurant
POINT (-87.6491601 41.886616),bar
POINT (-87.6490322 41.8872669),restaurant
POINT (-87.6409288 41.883901),restaurant
POINT (-87.6591892 41.8905209),bar
POINT (-87.6401044 41.8863297),restaurant
POINT (-87.6407581 41.8844648),cafe
POINT (-87.6472844 41.8847596),restaurant
POINT (-87.6582229 41.8852668),restaurant
POINT (-87.658239 41.8846138),restaurant
POINT (-87.6424715 41.8842786),restaurant
POINT (-87.6478315 41.8908567),restaurant
POINT (-87.6414689 41.8824024),restaurant
POINT (-87.6605832 41.8852803),restaurant
POINT (-87.6620754 41.8897346),restaurant
POINT (-87.6559723 41.8831528),restaurant
POINT (-87.6559754 41.8912522),restaurant
POINT (-87.6518407 41.8875396),restaurant
POINT (-87.6520399 41.8876913),cafe
POINT (-87.6643843 41.9544928),restaurant
POINT (-87.6636243 41.9395264),restaurant
POINT (-87.6801982 41.9543611),bar
POINT (-87.6465617 41.9351065),restaurant
POINT (-87.654223 41.8850614),restaurant
POINT (-87.6306073 41.9033294),restaurant
POINT (-87.6779447 41.9029891),restaurant
POINT (-87.6677065 41.8963394),bar
POINT (-87.6345049 41.9153668),restaurant
POINT (-87.6635911 41.9426479),restaurant
POINT (-87.6777722 41.9544424),bar
POINT (-87.6639084 41.9503531),restaurant
POINT (-87.5876493 41.736574),restaurant
POINT (-87.6180284 41.7582333),bar
POINT (-87.7125768 41.9956606),restaurant
POINT (-87.5993748 41.7925474),cafe
POINT (-87.5985012 41.7958829),cafe
POINT (-87.5948433 41.7993384),restaurant
POINT (-87.5886172 41.7955036),restaurant
POINT (-87.5841852 41.7953364),restaurant
POINT (-87.6586425 41.9655203),restaurant
POINT (-87.682255 41.9433216),restaurant
POINT (-87.6810414 41.9433386),restaurant
POINT (-87.6794891 41.9430634),cafe
POINT (-87.6273227 41.871182),restaurant
POINT (-87.6345564 41.853545),restaurant
POINT (-87.6269457 41.8915072),cafe
POINT (-87.6251166 41.8904253),restaurant
POINT (-87.6751741 41.9087624),restaurant
POINT (-87.6819688 41.9131516),bar
POINT (-87.6838026 41.9143219),restaurant
POINT (-87.6739514 41.910436),restaurant
POINT (-87.7074544 41.8873854),cafe
POINT (-87.664928 41.9169557),restaurant
POINT (-87.7609158 41.9692208),restaurant
POINT (-87.6413733 41.8812924),restaurant
POINT (-87.6415303 41.8830032),cafe
POINT (-87.5767553 41.7626616),restaurant
POINT (-87.6533762 41.9327782),restaurant
POINT (-87.6541252 41.932768),cafe
POINT (-87.6550447 41.9327302),bar
POINT (-87.6537045 41.9333106),cafe
POINT (-87.6547408 41.8818953),restaurant
POINT (-87.5931455 41.8098666),restaurant
POINT (-87.7133376 41.9831561),restaurant
POINT (-87.6344171 41.9153381),bar
POINT (-87.6593929 41.9328066),bar
POINT (-87.668934 41.9851351),restaurant
POINT (-87.6453016 41.9438463),restaurant
POINT (-87.6453073 41.9438117),bar
POINT (-87.6463743 41.9455874),restaurant
POINT (-87.6492558 41.9447676),bar
POINT (-87.6492509 41.944889),bar
POINT (-87.644836 41.9436247),restaurant
POINT (-87.6544306 41.945219),restaurant
POINT (-87.6529045 41.9429745),restaurant
POINT (-87.6528527 41.9428926),restaurant
POINT (-87.6491213 41.9401766),restaurant
POINT (-87.6495937 41.9401343),restaurant
POINT (-87.65616 41.8544381),cafe
POINT (-87.6998369 41.9175853),restaurant
POINT (-87.5893002 41.7996677),restaurant
POINT (-87.8026084 41.9804252),restaurant
POINT (-87.7067528 41.9613028),restaurant
POINT (-87.692894 41.9787636),bar
POINT (-87.6743927 41.9862289),restaurant
POINT (-87.6936097 41.9818853),bar
POINT (-87.708007 41.9175048),restaurant
POINT (-87.7012931 41.9251531),restaurant
POINT (-87.7047921 41.8465892),restaurant
POINT (-87.6260205 41.8880324),restaurant
POINT (-87.6215926 41.8931636),restaurant
POINT (-87.624242 41.8855672),cafe
POINT (-87.6242204 41.8852474),cafe
POINT (-87.7101777 41.9309154),bar
POINT (-87.6950991 41.8520598),restaurant
POINT (-87.7072785 41.9177215),bar
POINT (-87.7521628 41.9751574),bar
POINT (-87.6675568 41.7135568),cafe
POINT (-87.5943698 41.799642),restaurant
POINT (-87.5999703 41.7889997),cafe
POINT (-87.5987636 41.7948754),restaurant
POINT (-87.6016611 41.7921103),restaurant
POINT (-87.5849544 41.795126),restaurant
POINT (-87.6483419 41.8532798),bar
POINT (-87.6234629 41.8499567),bar
POINT (-87.670578 41.8896255),bar
POINT (-87.6776977 41.8868879),bar
POINT (-87.6776792 41.8866093),cafe
POINT (-87.7071905 41.909773),restaurant
POINT (-87.6382107 41.8852805),bar
POINT (-87.6372981 41.8854389),restaurant
POINT (-87.6371723 41.8854228),bar
POINT (-87.6209122 41.8861341),bar
POINT (-87.6701778 41.8958975),restaurant
POINT (-87.6573197 41.9479341),restaurant
POINT (-87.6574646 41.9481236),restaurant
POINT (-87.6575019 41.9481784),restaurant
POINT (-87.6571081 41.9476844),cafe
POINT (-87.6568234 41.9488178),bar
POINT (-87.6572547 41.9485773),restaurant
POINT (-87.6949419 41.9978116),restaurant
POINT (-87.6945419 41.9974213),restaurant
POINT (-87.6867981 41.9975967),restaurant
POINT (-87.6957703 41.9973907),restaurant
POINT (-87.6866074 41.9976158),restaurant
POINT (-87.6901854 41.9975778),restaurant
POINT (-87.6949921 41.9974709),restaurant
POINT (-87.9106418 41.9769412),restaurant
POINT (-87.644531 41.8830045),restaurant
POINT (-87.675639 41.9102279),restaurant
POINT (-87.6539169 41.9437201),restaurant
POINT (-87.645183 41.9329255),cafe
POINT (-87.766065 41.9364603),restaurant
POINT (-87.7040125 41.9271493),restaurant
POINT (-87.6487652 41.9317127),restaurant
POINT (-87.5838597 41.7991037),restaurant
POINT (-87.5838238 41.7994786),cafe
POINT (-87.6538143 41.9652873),cafe
POINT (-87.6551575 41.9457315),restaurant
POINT (-87.6235904 41.8981419),cafe
POINT (-87.6237198 41.8977676),
POINT (-87.6248866 41.8819871),restaurant
POINT (-87.6640752 41.9433087),restaurant
POINT (-87.7035248 41.9322708),cafe
POINT (-87.6333754 41.8523343),restaurant
POINT (-87.6595637 41.8580162),restaurant
POINT (-87.660619 41.8577741),bar
POINT (-87.7042553 41.9273867),restaurant
POINT (-87.6056016 41.780576),restaurant
POINT (-87.6247899 41.8863212),restaurant
POINT (-87.6246417 41.8783991),cafe
POINT (-87.676877 41.8957821),restaurant
POINT (-87.6768082 41.8957846),cafe
POINT (-87.6120001 41.8913101),restaurant
POINT (-87.6445976 41.9332772),restaurant
POINT (-87.7321275 41.9533558),cafe
POINT (-87.656317 41.8695373),cafe
POINT (-87.7844856 41.9941131),restaurant
POINT (-87.6321476 41.8415825),restaurant
POINT (-87.6766423 41.9758946),restaurant
POINT (-87.6477877 41.8780601),restaurant
POINT (-87.6485041 41.8863089),restaurant
POINT (-87.6055361 41.7558916),bar
POINT (-87.6415089 41.6718131),bar
POINT (-87.6239586 41.8515642),bar
POINT (-87.6338726 41.8765621),bar
POINT (-87.6309694 41.8963281),bar
POINT (-87.7212467 41.9392866),bar
POINT (-87.7025343 41.9251582),restaurant
POINT (-87.6776238 41.9101378),restaurant
POINT (-87.9064926 41.9808317),restaurant
POINT (-87.6254413 41.8743229),cafe
POINT (-87.6280138 41.901408),restaurant
POINT (-87.6226785 41.8526635),restaurant
POINT (-87.6329701 41.8937721),restaurant
POINT (-87.6294485 41.8772103),cafe
POINT (-87.6663934 41.8574586),restaurant
POINT (-87.6829231 41.8479967),restaurant
POINT (-87.6702407 41.8578806),cafe
POINT (-87.683278 41.8476445),restaurant
POINT (-87.6829077 41.8478007),restaurant
POINT (-87.6832441 41.8479127),restaurant
POINT (-87.6308405 41.8889),cafe
POINT (-87.625499 41.8877725),restaurant
POINT (-87.7099105 41.9609383),bar
POINT (-87.626108 41.886534),restaurant
POINT (-87.6445067 41.8893525),restaurant
POINT (-87.5779586 41.7663374),restaurant
POINT (-87.5781222 41.7663445),restaurant
POINT (-87.5694489 41.766037),restaurant
POINT (-87.5673203 41.7659501),restaurant
POINT (-87.6069131 41.7440469),restaurant
POINT (-87.6056 41.7580621),bar
POINT (-87.6133961 41.7842154),restaurant
POINT (-87.6464068 41.8646278),restaurant
POINT (-87.646242 41.8646273),restaurant
POINT (-87.6466877 41.8646458),bar
POINT (-87.6366541 41.8849259),restaurant
POINT (-87.6396188 41.8860808),restaurant
POINT (-87.6351407 41.8848677),cafe
POINT (-87.6348285 41.8533599),restaurant
POINT (-87.6551479 41.9740482),bar
POINT (-87.6554727 41.9750311),restaurant
POINT (-87.6237934 41.8990399),restaurant
POINT (-87.6238122 41.8990947),restaurant
POINT (-87.6849333 41.880808),restaurant
POINT (-87.7228796 41.7991794),restaurant
POINT (-87.7334011 41.9534081),restaurant
POINT (-87.6358742 41.9109366),restaurant
POINT (-87.6330464 41.8833459),restaurant
POINT (-87.6487784 41.9204702),restaurant
POINT (-87.6568915 41.9473681),restaurant
POINT (-87.6424952 41.8846118),restaurant
POINT (-87.6288081 41.9023751),restaurant
POINT (-87.6343853 41.9152622),cafe
POINT (-87.6288061 41.902338),restaurant
POINT (-87.6369735 41.8967718),restaurant
POINT (-87.6468085 41.8778276),restaurant
POINT (-87.6347462 41.9041723),bar
POINT (-87.6304864 41.9059085),restaurant
POINT (-87.6287408 41.9019662),restaurant
POINT (-87.6231835 41.8526537),cafe
POINT (-87.6482101 41.8768279),restaurant
POINT (-87.6474546 41.879611),bar
POINT (-87.6474916 41.880072),cafe
POINT (-87.6522577 41.8815422),cafe
POINT (-87.7644851 41.9974837),restaurant
POINT (-87.6503958 41.940101),cafe
POINT (-87.6927943 41.9101156),restaurant
POINT (-87.6311851 41.8865115),restaurant
POINT (-87.6326876 41.8843343),restaurant
POINT (-87.6303029 41.9056759),restaurant
