geometry,amenity
POINT (-87.5883288 41.7996838),restaurant
POINT (-87.5968523 41.7951985),bar
POINT (-87.5967215 41.7952167),cafe
POINT (-87.66374 41.9440434),restaurant
POINT (-87.6341972 41.8892942),restaurant
POINT (-87.6333711 41.8881786),restaurant
POINT (-87.6484086 41.9374071),restaurant
POINT (-87.6347343 41.8779989),restaurant
POINT (-87.630394 41.891439),restaurant
POINT (-87.7013037 41.9662621),cafe
POINT (-87.6755413 41.8324359),restaurant
POINT (-87.6509776 41.8378637),cafe
POINT (-87.6601292 41.9944428),restaurant
POINT (-87.6594092 41.9944249),restaurant
POINT (-87.6597835 41.9943234),bar
POINT (-87.6596921 41.9944467),restaurant
POINT (-87.6589707 41.9944085),restaurant
POINT (-87.65852 41.9946955),restaurant
POINT (-87.6344593 41.8952165),restaurant
POINT (-87.6223457 41.8800158),restaurant
POINT (-87.6590804 41.9372356),bar
POINT (-87.708734 41.965757),restaurant
POINT (-87.6636143 41.9278273),restaurant
POINT (-87.6691213 41.9842875),cafe
POINT (-87.6475092 41.8789853),restaurant
POINT (-87.6414714 41.9275472),restaurant
POINT (-87.6355874 41.8853746),restaurant
POINT (-87.7249501 41.968419),restaurant
POINT (-87.6356269 41.9113354),bar
POINT (-87.6486926 41.9277431),bar
POINT (-87.7378643 41.9533541),cafe
POINT (-87.6344561 41.8884976),cafe
POINT (-87.6936095 41.9682002),bar
POINT (-87.7499215 41.9531075),
POINT (-87.7510333 41.9531743),restaurant
POINT (-87.7508294 41.9535803),restaurant
POINT (-87.747461 41.9518201),restaurant
POINT (-87.7088137 41.9645511),cafe
POINT (-87.6442641 41.9423948),cafe
POINT (-87.6793194 41.9667045),restaurant
POINT (-87.6507796 41.9398402),cafe
POINT (-87.6443288 41.9426831),restaurant
POINT (-87.905461 41.9763381),cafe
POINT (-87.9029986 41.9754593),restaurant
POINT (-87.7072158 41.9339805),restaurant
POINT (-87.7193663 41.936156),restaurant
POINT (-87.6188393 41.8854088),restaurant
POINT (-87.6738629 41.965037),bar
POINT (-87.6265885 41.8935124),cafe
POINT (-87.7439556 41.9681805),restaurant
POINT (-87.6792537 41.9770576),bar
POINT (-87.62636 41.8798242),restaurant
POINT (-87.6364978 41.8790458),cafe
POINT (-87.8997192 41.9773712),cafe
POINT (-87.8989265 41.9773916),restaurant
POINT (-87.8987928 41.9773548),cafe
POINT (-87.9026461 41.9758854),cafe
POINT (-87.9014924 41.9763788),restaurant
POINT (-87.9024141 41.9758171),cafe
POINT (-87.9005505 41.9753753),bar
POINT (-87.8969922 41.9744089),bar
POINT (-87.9003204 41.9731673),cafe
POINT (-87.9003127 41.9749075),restaurant
POINT (-87.900628 41.9757797),restaurant
POINT (-87.9005406 41.9732724),bar
POINT (-87.8983368 41.9748011),restaurant
POINT (-87.9003363 41.9732284),cafe
POINT (-87.8971572 41.9744232),cafe
POINT (-87.9003307 41.974589),cafe
POINT (-87.9000178 41.9752491),cafe
POINT (-87.9002159 41.9754318),restaurant
POINT (-87.8978272 41.9746593),restaurant
POINT (-87.6688893 41.9760684),restaurant
POINT (-87.6749268 41.9124475),bar
POINT (-87.6737117 41.9124814),restaurant
POINT (-87.6736316 41.9104118),restaurant
POINT (-87.6247097 41.8824156),cafe
POINT (-87.6128059 41.893123),restaurant
POINT (-87.626052 41.8677461),cafe
POINT (-87.6255855 41.8665552),bar
POINT (-87.6273394 41.8715532),restaurant
POINT (-87.6260638 41.8676519),cafe
POINT (-87.6245382 41.8688255),restaurant
POINT (-87.5938479 41.7913357),cafe
POINT (-87.5934223 41.791333),restaurant
POINT (-87.6466498 41.8643963),restaurant
POINT (-87.707771 41.9520045),restaurant
POINT (-87.644101 41.9359579),cafe
POINT (-87.9033436 41.9752625),cafe
POINT (-87.903347 41.9739099),restaurant
POINT (-87.635621 41.8863143),restaurant
POINT (-87.6360264 41.8858838),restaurant
POINT (-87.6768908 41.9098468),restaurant
POINT (-87.6200842 41.8091967),restaurant
POINT (-87.643667 41.9300231),bar
POINT (-87.655881 41.9307707),restaurant
POINT (-87.6246375 41.7644262),restaurant
POINT (-87.8158735 42.0028169),restaurant
POINT (-87.6348401 41.9096394),restaurant
POINT (-87.7444297 41.9650696),bar
POINT (-87.6413164 41.9272981),restaurant
POINT (-87.6411338 41.9270011),cafe
POINT (-87.6415082 41.9268031),bar
POINT (-87.6370796 41.9172647),restaurant
POINT (-87.6258796 41.8856398),restaurant
POINT (-87.699928 41.924632),cafe
POINT (-87.697351 41.92796),cafe
POINT (-87.6979732 41.9389697),restaurant
POINT (-87.688453 41.9611893),restaurant
POINT (-87.6305135 41.8810741),restaurant
POINT (-87.6238606 41.8844733),cafe
POINT (-87.6286511 41.8806134),restaurant
POINT (-87.6599579 41.9700956),bar
POINT (-87.697519 41.922552),restaurant
POINT (-87.6301786 41.9037941),cafe
POINT (-87.6355762 41.8849897),restaurant
POINT (-87.6355896 41.885424),restaurant
POINT (-87.6371788 41.8897866),cafe
POINT (-87.6390534 41.9048924),cafe
POINT (-87.6346483 41.9040444),restaurant
POINT (-87.6351174 41.8814165),restaurant
POINT (-87.6341347 41.8822523),cafe
POINT (-87.6373395 41.8846116),cafe
POINT (-87.6378185 41.880497),bar
POINT (-87.6375454 41.8804904),cafe
POINT (-87.653618 41.9105426),cafe
POINT (-87.6670987 41.896336),restaurant
POINT (-87.6267258 41.8806526),restaurant
POINT (-87.6278696 41.8920577),restaurant
POINT (-87.69797 41.937096),bar
POINT (-87.7782559 41.9531703),cafe
POINT (-87.6327641 41.911036),restaurant
POINT (-87.6353902 41.8894615),cafe
POINT (-87.5971262 41.7951799),restaurant
POINT (-87.6718335 41.8910659),bar
POINT (-87.6714159 41.8910216),restaurant
POINT (-87.6430854 41.8859048),cafe
POINT (-87.6490879 41.910787),cafe
POINT (-87.6296591 41.8846009),restaurant
POINT (-87.629404 41.8887361),bar
POINT (-87.6305941 41.8904282),bar
POINT (-87.6294449 41.8914217),restaurant
POINT (-87.6294975 41.8942218),cafe
POINT (-87.7101436 41.917247),bar
POINT (-87.6758683 41.9431284),bar
POINT (-87.7082946 41.9421788),bar
POINT (-87.6449862 41.9229445),restaurant
POINT (-87.6256252 41.8918646),restaurant
POINT (-87.7002647 41.9319208),restaurant
POINT (-87.7073464 41.9335938),restaurant
POINT (-87.6283059 41.8934348),restaurant
POINT (-87.6483425 41.9179369),restaurant
POINT (-87.648321 41.917875),restaurant
POINT (-87.6486675 41.9179319),restaurant
POINT (-87.6483402 41.9180677),bar
POINT (-87.6486715 41.9177852),restaurant
